name,Standardized_Name,Brand,Category,Sub_Category,Micro_Category,Size_Weight,mrp
Good Home Lemon Room Freshener,Good Home Lemon Room Freshener,Good Home,Cleaning Essentials,Air Fresheners,Room Freshener Spray,pc,149
Good Home Sandal Room Freshener,Good Home Sandal Room Freshener,Good Home,Cleaning Essentials,Air Fresheners,Room Freshener Spray,pc,149
Sunsilk Shampoo 350G,Sunsilk Shampoo,Sunsilk,Personal Care,Hair Care,Shampoo,350ml,469
Good Night Gold Flash 45Ml,Good Night Gold Flash,Good Night,Masala & Dry Fruits,Masalas & Spices,Whole & Ground Spices,45ml,77
Gowardhan Ghee Pouch 1L,Gowardhan Ghee Pouch,Gowardhan,"Dairy, Bread & Eggs",Ghee,Cow Ghee,1L,765
Gowardhan Ghee 200Ml,Gowardhan Ghee,Gowardhan,"Dairy, Bread & Eggs",Ghee,Cow Ghee,200ml,192
Gowardhan Ghee 1L,Gowardhan Ghee,Gowardhan,"Dairy, Bread & Eggs",Ghee,Cow Ghee,200ml,799
Vim Bar 5Rs,Vim Bar Tub,Vim,Cleaning Essentials,Dish Cleaning,Dish Cleaner,500g,5
Poha Sev 200G,Poha Sev,Unknown,Snacks & Munchies,Namkeen & Bhel,Poha Sev,200g,70
Guinea Groundnut Oil 1L,Guinea Groundnut Oil,Guinea,Masala & Dry Fruits,Cooking Oils,Groundnut Oil,1L,260
Chandrika 3+1*125G,Chandrika Soap 3*125,Chandrika,Personal Care,Bath & Body,Soaps & Bars,pc,140
Haldiram Sonapapadi 500G,Haldiram Sonpaapdi,Haldirams,Sweet Tooth,Indian Mithai,Soan Papdi,250g,130
Pepsodent Gumcare 140G,Pepsodent Gumcare Toothpaste,Pepsodent,Personal Care,Oral Care,Toothpaste,140g,129
Sunflower Vanaspati 174 Gm,Sunflower Vanaspati,Unknown,Masala & Dry Fruits,Cooking Oils,Vanaspati,174g,54
Haldiram'S Soan Papdi Coconut,Haldiram'S Soan Papdi Coconut,Haldiram's,Sweet Tooth,Indian Mithai,Soan Papdi,pc,75
Hamam Soap 3*150G,Hamam Soap,Unknown,Personal Care,Bath & Body,Bathing Soap,100G,190
Harpic,Harpic Bcl,Harpic,Cleaning Essentials,Bathroom & Toilet Cleaners,Toilet Cleaner,250ml,116
Haldirams Gulab Jamun Tin 500Gms,Haldirams Gulab Jamun Tin,Haldirams,Sweet Tooth,Traditional Sweets,Gulab Jamun,500g,90
Haldirams Rasgulla Tin 500Gm,Haldirams Rasgulla Tin,Haldirams,Sweet Tooth,Traditional Sweets,Rasgulla,500g,125
Haldiram'S Orange Soan Papdi,Haldiram'S Orange Soan Papdi,Haldiram's,Sweet Tooth,Traditional Sweets,Soan Papdi,pc,80
Hershey'S Spreads Cocoa Almond 350G,Hershey'S Spreads Cocoa Almond,Hershey's,Sweet Tooth,Chocolates & Bars,Chocolate Bars,150g,310
Himalaya Lemon Fw 100Ml,Himalaya Lemon Face Wash,Himalaya,Personal Care,Face Care,Face Wash,100ml,130
Himalaya Moisturizing Baby Soap 75G,Himalaya Moisturizing Baby Soap,Himalaya,Baby Care,Baby Bath & Skin,Baby Soap,75g,50
Haldiram Sonpaapdi 250G,Haldiram Sonpaapdi,Haldirams,Sweet Tooth,Indian Mithai,Soan Papdi,250g,70
Himalaya Neem Fw 50Ml,Himalaya Neem Fw,Himalaya,Personal Care,Face Care,Face Wash,50ml,89
Himalaya Refreshing Baby Soap 75G,Himalaya Refreshing Baby Soap,Himalaya,Baby Care,Baby Bath & Skin,Baby Soap,75g,50
Gillette Mach3 4N,Gillette Mach3 Razor,Gillette,Personal Care,Shaving & Grooming,Shaving Razor,4N,599
Honey Mustard,Honey Mustard Sauce,Unknown,Snacks & Munchies,Dips & Spreads,Mustard Sauce,pc,119
Indulekha Shampoo 200Ml,Indulekha Bringha Shampoo,Indulekha,Personal Care,Hair Care,Shampoo,200ml,234
Italian Herb Mayo,Italian Herb Mayo,Unknown,Snacks & Munchies,Dips & Spreads,Mayonnaise,pc,119
Agra Taj Petha 200G,Agra Taj Petha,Unknown,Sweet Tooth,Traditional Sweets,Petha,200g,65
Scrotch Brite Broom,Scotch Brite Broom,Scotch Brite,Cleaning Essentials,Cleaning Tools,Broom,pc,375
K-Pra Rajgira Flour 200G,K-Pra Rajgira Flour,K-Pra,"Atta, Rice & Dal",Specialty Flours,Rajgira Flour,200g,75
Jahagirdar Bakers 150 Gm Plpch Nagali Nachani Ragi No Maida [Swtcok],Jahagirdar Bakers Nagali Nachani Ragi No Maida,Jahagirdar,Snacks & Munchies,Biscuits & Cookies,Biscuits & Cookies,150g,60
Kitkat Mixfruit,Kitkat Mix Fruit,KitKat,Sweet Tooth,Chocolates,Wafer Chocolate,pc,30
Kellogg'S 240 Gm Pph Muesli Fruit&Nut With 21% Fruit 5 Grain,Kellogg'S Muesli Fruit & Nut,Kellogg's,"Tea, Coffee & Health Drinks",Breakfast Cereals,Muesli,240g,180
Klf Coconut Milk 400Ml,Klf Coconut Milk,KLF,Instant & Frozen Food,Cooking Ingredients,Coconut Milk,400ml,209
Jyoti Finel 500Ml,Jyoti Finel,Jyoti,Cleaning Essentials,Toilet & Bathroom,Toilet Cleaner,500ml,110
Kissan Chilli Tomato Sauce 200G,Kissan Chilli Tomato Sauce,Kissan,Snacks & Munchies,Dips & Spreads,Tomato Sauce,200g,65
Katadare Groundnut Chutney 100G,Katadare Groundnut Chutney,Katadare,Masala & Dry Fruits,Pickles & Chutneys,Groundnut Chutney,100g,45
K-Pra Singada Flour 200G,K-Pra Singada Flour,K-Pra,"Atta, Rice & Dal",Specialty Flours,Singada Flour,200g,120
Cornflex,Cornflex,Unknown,"Tea, Coffee & Health Drinks",Breakfast Cereals,Cereals & Muesli,pc,125
Pril Lime 1Ltr,Pril Lime,Pril,Cleaning Essentials,Dish Cleaners,Dishwash Liquid,425ml,204
Khaman Gunda,Khaman Gunda Pickle,Unknown,Masala & Dry Fruits,Pickles & Chutneys,Pickle,pc,160
Kissan Orange Marmalade 500G,Kissan Orange Marmalade,Kissan,Snacks & Munchies,Dips & Spreads,Jam & Marmalade,500g,175
Kissan Pineapple Jam 500G,Kissan Pineapple Jam,Kissan,Snacks & Munchies,Dips & Spreads,Fruit Jam,500g,175
Kissan Sweet Spicy,Kissan Sweet & Spicy Sauce,Kissan,Snacks & Munchies,Dips & Spreads,Sauce,pc,70
Kissan Tomato Ketchup 900G,Kissan Tomato Ketchup,Kissan,Snacks & Munchies,Dips & Spreads,Tomato Ketchup,900g,100
Laxmi Naryan 200G,Laxmi Naryan,Laxmi Narayan,Snacks & Munchies,Namkeen & Mixtures,Namkeen,250g,90
Klinol Finel 500Ml,Klinol Finel,Unknown,Snacks & Munchies,Namkeen & Bhujia,Savoury Snacks,1L,130
Klinol Finel 1L,Klinol Finel,Unknown,Snacks & Munchies,Namkeen & Bhujia,Savoury Snacks,1L,195
Kissan Mixed Fruit Jam 200G,Kissan Mixed Fruit Jam,Kissan,Snacks & Munchies,Dips & Spreads,Fruit Jam,200g,85
Krack Jack 63G,Krack Jack,Parle,Masala & Dry Fruits,Masalas & Spices,Whole & Ground Spices,200g,10
Kissan Nog 950G,Kissan Nog,Kissan,Masala & Dry Fruits,Masalas & Spices,Whole & Ground Spices,450g,130
Lakme Creame Fw 50G,Lakme Cream Face Wash,Lakme,Personal Care,Face Care,Face Wash,50g,120
Lakme Lemon Fresh Face Wash 100G,Lakme Lemon Fresh Face Wash,Lakme,Personal Care,Face Care,Face Wash,100g,225
Lakme Peach Burst Face Wash 100G,Lakme Peach Burst Face Wash,Lakme,Personal Care,Face Care,Face Wash,100g,225
Klinol Finel 200Ml,Klinol Finel,Unknown,Snacks & Munchies,Namkeen & Bhujia,Savoury Snacks,1L,50
L G Hing 100G,L G Hing,Unknown,Masala & Dry Fruits,Masalas & Spices,Blended Masalas,100g,182
Kwality Pista Badam Cookies 200G,Kwality Pista Badam Cookies,Kwality,Snacks & Munchies,Biscuits & Cookies,Nut Cookies,200g,125
Pepsodent 100Gm,Pepsodent Gc,Pepsodent,Personal Care,Oral Care,Toothpaste,200G,69
Korean Hot & Spicy Maggi,Korean Hot & Spicy Maggi,Maggi,Instant & Frozen Food,Noodles & Pasta,Instant Noodles,pc,55
Lifebuoy 4U*45G,Lifebuoy 4*,Lifebuoy,Personal Care,Bath & Body,Bar Soap,125g,40
Sabudana Pro Nature,Sabudana Puri,Unknown,Snacks & Munchies,Namkeen & Mixtures,Puri,200g,94
Campure Corn,Camphor Cone,Unknown,Home & Lifestyle,Air Fresheners,Camphor,pc,120
Lipton Grn Lemon 25Bag,Lipton Grn Lemon 25Bag,Lipton,"Tea, Coffee & Health Drinks",Tea,Tea Bags,pc,165
Lipton Grn P&L 25Bag,Lipton Grn Lemon 25Bag,Lipton,"Tea, Coffee & Health Drinks",Tea,Tea Bags,pc,170
Lipton Green Tea Honey Lemon,Lipton Green Tea Honey Lemon,Lipton,"Tea, Coffee & Health Drinks",Tea,Green Tea,pc,170
Lipton Honey Lemon Green Tea Bags,Lipton Honey Lemon Green Tea Bags,Lipton,"Tea, Coffee & Health Drinks",Green & Herbal Tea,Green Tea Bags,pc,70
Lipton Sip & Dig 25N,Lipton Sip & Dig Tea Bags,Lipton,"Tea, Coffee & Health Drinks",Green & Herbal Tea,Green Tea Bags,25N,180
Liril Cooling Mint Bw 250Ml,Liril Cooling Mint Body Wash,Liril,Personal Care,Bathing & Shower,Body Wash,250ml,180
Liril Soap 3*125Gm,Liril Soap,Liril,Personal Care,Bath & Body,Bar Soap,125g,210
Lizol Bathroom Cleaner 450Ml,Lizol Bathroom Cleaner,Lizol,Cleaning Essentials,Toilet & Bathroom Cleaners,Bathroom Cleaner,450ml,136
Lizol 3In1 Surface Cleaner Citrus 975 Ml,Lizol 3In1 Surface Cleaner Citrus,Lizol,Cleaning Essentials,Floor & Surface Cleaners,Floor Cleaner,975ml,249
Lizol Floral 1L,Lizol Floral Floor Cleaner,Lizol,Cleaning Essentials,Floor & Surface Cleaners,Floor Cleaner,1L,205
Lizol Floral 500Ml,Lizol Floral Floor Cleaner,Lizol,Cleaning Essentials,Floor & Surface Cleaners,Floor Cleaner,1L,129
Lizol Disinfectant Floor Cleaner Floral 975 Ml,Lizol Floral Disinfectant Floor Cleaner,Lizol,Cleaning Essentials,Floor & Surface Cleaners,Disinfectant Floor Cleaner,975ml,235
Lizol Jasmine 975Ml,Lizol Jasmine,Lizol,Cleaning Essentials,Floor & Surface Cleaners,Floor Cleaner,975ml,235
Laxmi Makai Chips 200G,Laxmi Makai Chips,Laxmi,Snacks & Munchies,Chips & Crisps,Corn Chips,200g,75
Lijjat Mini Papad 200Gm,Lijjat Mini Papad,Lijjat,Snacks & Munchies,Indian Snacks,Mini Papad,200g,77
Lijjat Punjabi Papad 200G,Lijjat Punjabi Papad,Lijjat,Snacks & Munchies,Indian Snacks,Papad,200g,89
Sunfest Cho,Sunfeast Bournbon,Sunfeast,Snacks & Munchies,Namkeen & Mixtures,Namkeen,120g,10
Loreal Total Repair 5 Conditoner 192.5Ml,L'Oreal Total Repair 5 Conditioner,L'Oreal,Personal Care,Hair Care,Hair Conditioner,192.5ml,229
Loreal Black 1,Loreal Ebony Black 200,L'Oreal,Snacks & Munchies,Namkeen & Mixtures,Namkeen,pc,249
Loreal Ebony Black 200,Loreal Ebony Black 200,L'Oreal,Snacks & Munchies,Namkeen & Mixtures,Namkeen,pc,550
Lux Jasmine Soap 4U*43G,Lux Jasmine Soap,Lux,Personal Care,Bathing & Shower,Bathing Soap,150g,40
Lux Rose Soap 41G,Lux Rose Soap,Lux,Personal Care,Bathing & Shower,Bathing Soap,41g,10
Lux Jasmine 150Gm,Lux Jasmine Soap,Lux,Personal Care,Bathing & Shower,Bathing Soap,150g,165
Lux Rose Mega Pack,Lux Rose Mega Pack Soap,Lux,Personal Care,Bathing & Shower,Bathing Soap,pc,165
Groundnut Pro N 500Gm,Groundnut Pro Nature,Pro Nature,Masala & Dry Fruits,Dry Fruits & Nuts,Groundnuts,500g,186
Maggi 4Pk,Maggi 4Pack,Nestle,Instant & Frozen Food,Instant Noodles,Instant Noodles,4Pack,55
Maggi 6Pk,Maggi 4Pack,Nestle,Instant & Frozen Food,Instant Noodles,Instant Noodles,4Pack,84
Malas Passion Fruit 750Ml,Mala'S Passion Fruit Crush,Mala's,Cold Drinks & Juices,Squash & Concentrates,Fruit Crush,750ml,299
Sunflower Vanaspati,Sunflower Vanaspati,Unknown,Masala & Dry Fruits,Cooking Oils,Vanaspati,174g,121
Mapro [Crush] 750 Ml Plbot Mapro Coolz Mahakool Sharbat,Mapro [Crush] Plbot Cools Raw Mango Crush,Mapro,Cold Drinks & Juices,Squashes & Syrups,Fruit Crush,750ml,180
Mapro [Crush] 750 Ml Plbot Restore Kokum Crush,Mapro [Crush] Plbot Cools Raw Mango Crush,Mapro,Cold Drinks & Juices,Squashes & Syrups,Fruit Crush,750ml,180
Lizol Lavender 500Ml,Lizol Lavender,Lizol,Cleaning Essentials,Floor & Surface Cleaners,Floor Cleaner,500ml,123
Loreal Darkest Brown 300,Garnier Darkest Brown 3,Garnier,Personal Care,Hair Care,Hair Colour,pc,239
Mapro [Squash] 750 Ml Plbot Loung Kala Khatta,Mapro [Crush] Plbot Cools Raw Mango Crush,Mapro,Cold Drinks & Juices,Squashes & Syrups,Fruit Crush,750ml,180
Moong Dal Vada 200Gm,Moong Dal Vada Mix,Unknown,Instant & Frozen Food,Instant Mixes,Vada Mix,200g,100
Mtr Paneer Tikka Masala 300G,Mtr Paneer Tikka Masala,MTR,Instant & Frozen Food,Ready-To-Cook Curries,Paneer Curry,300g,145
Mtr Pav Bhaji 300G,Mtr Pav Bhaji Mix,MTR,Instant & Frozen Food,Ready-To-Cook Curries,Pav Bhaji,300g,120
Mtr Rava Dosa 500G,Mtr Rava Dosa Mix,MTR,Instant & Frozen Food,Instant Mixes,Dosa Mix,500g,140
Mtr Shahi Paneer 300G,Mtr Shahi Paneer,MTR,Instant & Frozen Food,Ready-To-Cook Curries,Paneer Curry,300g,145
Mtr Vada 200G,Mtr Vada Mix,MTR,Instant & Frozen Food,Instant Mixes,Vada Mix,200g,120
Mtr Bisibele Bhath Masala 100G,Mtr Bisibele Bhath Masala,MTR,Masala & Dry Fruits,Masala & Spices,Blended Masala,100g,70
Mtr Dal Fry 300G,Mtr Dal Fry,MTR,Instant & Frozen Food,Ready-To-Cook Curries,Dal Curry,300g,120
Mtr Mixed Vegetable Curry 300G,Mtr Mixed Vegetable Curry,MTR,Instant & Frozen Food,Ready-To-Cook Curries,Vegetable Curry,300g,120
Maaza 10Rs,Maaza,Maaza,Cold Drinks & Juices,Juices & Fruit Drinks,Mango Drink,pc,10
Chocolates 40Pc,Chocolate 40Pc,Unknown,Sweet Tooth,Chocolates & Candies,Chocolates,40Pc,200
Maggi 70G,Maggi,Nestle,Instant & Frozen Food,Instant Noodles,Instant Noodles,pc,14
Maggi Magic Cubes 40G,Maggi Magic Masala Cubes,Maggi,Masala & Dry Fruits,Masala & Spices,Masala Cubes,40g,35
Maggi Nog Sauce 500G,Maggi Nong Shim Sauce,Maggi,Snacks & Munchies,Dips & Sauces,Sauce,485g,115
Maggi Noodles 4Pack,Maggi Noodles Pack,Maggi,Instant & Frozen Food,Instant Noodles,Masala Noodles,pc,55
Maggi Noodles 6Pack,Maggi Noodles Pack,Maggi,Instant & Frozen Food,Instant Noodles,Masala Noodles,pc,82
Madhur Jaggery Powder 500G,Madhur Jaggery Powder,Madhur,Masala & Dry Fruits,Sugar & Jaggery,Jaggery Powder,500g,100
Mtr Veggle Upma,Mtr Vegetable Upma,MTR,Instant & Frozen Food,Instant Mixes,Upma Mix,pc,30
Mr Filter Coffee 100G,Mr Filter Coffee,Mr,"Tea, Coffee & Health Drinks",Coffee,Filter Coffee Powder,100g,130
Maggi Noodles 70G,Maggi Noodles,Maggi,Instant & Frozen Food,Instant Noodles,Masala Noodles,70g,14
Maggi Pazzta Tomato 64G,Maggi Pazzta Tomato,Maggi,Instant & Frozen Food,Instant Noodles,Pasta,64g,24
Maggi Veg Atta 72.5G,Maggi Veg Atta,Maggi,Instant & Frozen Food,Noodles & Pasta,Instant Noodles,pc,24
Mala'S Mango,Mala'S Orange,Mala's,Snacks & Munchies,Namkeen & Mixtures,Namkeen,pc,175
Mala'S Mint Mojito,Mala'S Mint Mojito Syrup,Mala's,Cold Drinks & Juices,Squash & Concentrates,Mojito Syrup,pc,299
Mala'S Pineapple,Mala'S Pineapple Syrup,Mala's,Cold Drinks & Juices,Squash & Concentrates,Fruit Syrup,pc,750
Mala'S Butter Scotch,Mala'S Butter Scotch Crush,Mala's,Cold Drinks & Juices,Squash & Concentrates,Fruit Crush,pc,175
Mala'S Green Apple,Mala'S Green Apple Crush,Mala's,Cold Drinks & Juices,Squash & Concentrates,Fruit Crush,pc,175
Mala'S Guava,Mala'S Guava Crush,Mala's,Cold Drinks & Juices,Squash & Concentrates,Fruit Crush,pc,175
Mala'S Lemon Barley,Mala'S Lemon Barley,Mala's,Cold Drinks & Juices,Squash & Concentrates,Barley Water,pc,160
Mala'S Litchi,Mala'S Litchi Crush,Mala's,Cold Drinks & Juices,Squash & Concentrates,Fruit Crush,pc,175
Mala'S Masambi Crush 750Ml,Mala'S Mosambi Crush,Mala's,Cold Drinks & Juices,Squash & Concentrates,Fruit Crush,750ml,175
Mala'S Orange,Mala'S Orange,Mala's,Snacks & Munchies,Namkeen & Mixtures,Namkeen,pc,175
Mala'S Strawberry,Mala'S Strawberry Crush,Mala's,Cold Drinks & Juices,Squash & Concentrates,Fruit Crush,pc,160
Mala'S Water Melon,Mala'S Watermelon Crush,Mala's,Cold Drinks & Juices,Squash & Concentrates,Fruit Crush,pc,155
Malas Blue Curacao 750 Ml Bottle,Malas Blue Curacao Syrup,Mala's,Cold Drinks & Juices,Squash & Concentrates,Cocktail Syrup,750ml,299
Malgundi Coffee Decoction 150Ml,Malgundi Coffee Decoction,Malgundi,"Tea, Coffee & Health Drinks",Coffee,Coffee Decoction,150ml,100
Malgundi Coffee 60 Degree,Malgundi Coffee 60 Degree,Malgundi,"Tea, Coffee & Health Drinks",Coffee,Instant Coffee,pc,90
Malpani Bake Lite Brown Khari,Malpani Bake Lite Brown Khari,Unknown,"Dairy, Bread & Eggs",Bakery & Biscuits,Khari & Toast,pc,75
Emali 500Gm,Halim500G,Unknown,Masala & Dry Fruits,Seeds & Herbs,Seeds & Dry Herbs,500g,140
Mangaldeep Agarbattis,Mangaldeep Agarbatti,Mangaldeep,Pooja Needs,Agarbatti & Dhoop,Agarbatti,pc,50
Mangaldeep Agarbattis Sandal,Mangaldeep Agarbatti,Mangaldeep,Pooja Needs,Agarbatti & Dhoop,Agarbatti,pc,50
Mango Milk Shake,Mango Milkshake,Unknown,Cold Drinks & Juices,Juices & Fruit Drinks,Milkshake,pc,75
Margo Soap 4+1,Margo Soap 4+1,Unknown,Personal Care,Bath & Body,Bar Soap,pc,180
Karkjack 10Rs,Kaju 210,Unknown,Masala & Dry Fruits,Dry Fruits & Nuts,Dry Fruits & Nuts,pc,10
Manish Mix Masala 100G,Manish Mix Masala,Manish,Masala & Dry Fruits,Masala & Spices,Blended Masala,100g,72
Manish Garam Masala 100G,Manish Garam Masala,Manish,Masala & Dry Fruits,Masala & Spices,Garam Masala,100g,78
Closeup 40G,Closeup,Closeup,Personal Care,Oral Care,Toothpaste,80g,20
Manish Masala Dry Mango Powder 50G,Manish Dry Mango Powder,Manish,Masala & Dry Fruits,Masala & Spices,Amchur Powder,50g,44
Parachute 100Ml,Parachute,Parachute,Personal Care,Hair Care,Hair Oil,250ml,65
Mapro Alphonso Mango,Mapro Alphonso Mango Crush,Mapro,Cold Drinks & Juices,Squash & Concentrates,Fruit Crush,pc,180
Mapro Amla Ginger,Mapro Amla Ginger Crush,Mapro,Cold Drinks & Juices,Squash & Concentrates,Herbal Crush,pc,180
Mapro Black Currant,Mapro Black Currant Crush,Mapro,Cold Drinks & Juices,Squash & Concentrates,Fruit Crush,pc,180
Mapro Butter Scotch Apple Crush,Mapro Butterscotch Apple Crush,Mapro,Cold Drinks & Juices,Squash & Concentrates,Fruit Crush,pc,180
Mapro Citrus Blue,Mapro Citrus Blue Crush,Mapro,Cold Drinks & Juices,Squash & Concentrates,Fruit Crush,pc,180
Mapro Jeera Masala Cordial,Mapro Jeera Masala Cordial,Mapro,Cold Drinks & Juices,Squash & Concentrates,Masala Cordial,pc,180
Mapro Khus Sharbat,Mapro Khus Sharbat,Mapro,Cold Drinks & Juices,Squash & Concentrates,Sharbat Concentrate,pc,180
Mapro Kiwi Crush,Mapro Kiwi Crush,Mapro,Cold Drinks & Juices,Squash & Concentrates,Fruit Crush,pc,180
Mapro Lemon Barley Water,Mapro Lemon Barley Water,Mapro,Cold Drinks & Juices,Squash & Concentrates,Barley Water,pc,180
Mapro Lemon Ginger,Mapro Lemon Ginger Crush,Mapro,Cold Drinks & Juices,Squash & Concentrates,Ginger Crush,pc,180
Mapro Limboo Timboo,Mapro Limboo Timboo Crush,Mapro,Cold Drinks & Juices,Squash & Concentrates,Lemon Crush,pc,180
Mapro Litchi,Mapro Litchi Crush,Mapro,Cold Drinks & Juices,Squash & Concentrates,Fruit Crush,pc,180
Mapro Mango Crush,Mapro Mango Crush,Mapro,Cold Drinks & Juices,Squash & Concentrates,Fruit Crush,pc,180
Mapro Orange,Mapro Orange Crush,Mapro,Cold Drinks & Juices,Squash & Concentrates,Fruit Crush,pc,180
Mapro Pineapple Crush.,Mapro Pineapple Crush,Mapro,Cold Drinks & Juices,Squash & Concentrates,Fruit Crush,pc,180
Mapro Pink Guava,Mapro Pink Guava Crush,Mapro,Cold Drinks & Juices,Squash & Concentrates,Fruit Crush,pc,180
Mapro Rose Sy.,Mapro Rose Syrup,Mapro,Cold Drinks & Juices,Squash & Concentrates,Floral Syrup,pc,180
Mapro Santra Mantra,Mapro Santra Mantra Crush,Mapro,Cold Drinks & Juices,Squash & Concentrates,Fruit Crush,pc,180
Mapro Strwaberry,Mapro Strawberry Crush,Mapro,Cold Drinks & Juices,Squash & Concentrates,Fruit Crush,pc,180
Manish Coriander Powder 100G,Manish Coriander Powder,Manish,Masala & Dry Fruits,Masala & Spices,Coriander Powder,100g,40
Manish Kashmiri Chilli Powder 100G,Manish Kashmiri Chilli Powder,Manish,Masala & Dry Fruits,Masala & Spices,Red Chilli Powder,100g,95
Dehaat Toor Dal 500G,Dehaat Toor Dal,Dehaat,"Atta, Rice & Dal",Dals & Pulses,Toor Dal,500g,148
Men'S Fair & Lovely 25G,Fair & Lovely,Fair & Lovely,Personal Care,Face Care,Face Cream,80g,90
Men'S Fair & Lovely 50G,Fair & Lovely,Fair & Lovely,Personal Care,Face Care,Face Cream,80g,175
Mysure Sandal Leq.,Mysure Sandal Liquid.,Mysore Sandal,Home & Lifestyle,Air Fresheners,Room Freshener,pc,130
Mint Mayo,Mint Mayo,Unknown,Snacks & Munchies,Dips & Spreads,Mayonnaise,pc,119
Mom'S Magic Butter 67.5G,Mom'S Magic Butter Biscuits,Britannia,Snacks & Munchies,Biscuits & Cookies,Butter Cookies,67.5g,10
Mom'S Magic Cashew & Almond 58.4G,Mom'S Magic Cashew & Almond Biscuits,Britannia,Snacks & Munchies,Biscuits & Cookies,Nut Cookies,58.4g,10
Moments Custard Powder Strawberry 100G,Moments Custard Powder Pineapple,Moments,Sweet Tooth,Baking Needs,Custard Powder,100g,45
Moments Custard Powder Vanillla 100G,Moments Custard Powder Pineapple,Moments,Sweet Tooth,Baking Needs,Custard Powder,100g,45
Milkmaid 380G,Milkmaid,Nestle,"Dairy, Bread & Eggs",Milk Products,Condensed Milk,380g,149
Medimix Giycerine 75Gm,Medimix Giycerine,Medimix,Snacks & Munchies,Namkeen & Mixtures,Namkeen,75g,125
Moments Whipped Cream 50G,Moments Whipped Cream,Moments,"Dairy, Bread & Eggs",Whipped Cream,Whipped Cream,50g,50
Monaco 200G,Monaco,Unknown,Snacks & Munchies,Biscuits & Cookies,Biscuits,pc,35
Monaco 52G,Monaco,Unknown,Snacks & Munchies,Biscuits & Cookies,Biscuits,pc,10
Monaco 58G,Monaco,Unknown,Snacks & Munchies,Biscuits & Cookies,Biscuits,pc,10
Mother'S Panipuri Mix 200G,Mother'S Panipuri Mix,Mother's,Instant & Frozen Food,Instant Mixes,Panipuri Mix,200g,60
Mysure Sandal Soap 150G,Mysure Sandal Soap,Mysore Sandal,Personal Care,Bath & Body,Bar Soap,150g,82
Veg Mayo Garlic,Veg Garlic Mayo,Unknown,Snacks & Munchies,Dips & Spreads,Veg Mayonnaise,pc,99
Milk Bikis 190.5G,Milk Bikis,Unknown,Snacks & Munchies,Biscuits & Cookies,Biscuits,pc,30
Nutri Choice Degestive 200Gm,Nutri Choice Digestive Biscuits,Britannia,Snacks & Munchies,Biscuits & Cookies,Digestive Biscuits,200g,50
Nycil 150G Pbt Germ Expert Cool Lime 5 In One Benfts+Fr 50G Cool Hrbl,Nycil Plbot Germ Expert Cool Aloe 5 In One Benifits+Fr Ch,Nycil,Personal Care,Skin Care,Body Cream,150g,145
Mother'S Bhaniya Pudina 200G,Mother'S Bhaniya Pudina Chutney,Mother's,Masala & Dry Fruits,Pickles & Chutneys,Mint Chutney,200g,65
Navratna Ayurvedic Oil 100Ml,Navratna Ayurvedic Oil,Navratna,Personal Care,Hair Care,Hair Oil,50ml,80
Navratna Ayurvedic Oil 200Ml,Navratna Ayurvedic Oil,Navratna,Personal Care,Hair Care,Hair Oil,50ml,140
Mother'S Samosa Chutney 200G,Mother'S Samosa Chutney,Mother's,Masala & Dry Fruits,Pickles & Chutneys,Samosa Chutney,200g,60
Mysure Sandal Gold 125G,Mysure Sandal Gold,Mysore Sandal,Personal Care,Bath & Body,Bar Soap,125g,90
Dalchini Po 10Gm,Dalchini Powder,Unknown,Masala & Dry Fruits,Masala & Spices,Cinnamon Powder,10g,20
Nescafe Sunrise 7G,Nescafe Sunrise,Nescafe,"Tea, Coffee & Health Drinks",Coffee,Instant Coffee,1.8g,10
Nice Time 143G,Nice Time Biscuits,Unknown,Snacks & Munchies,Biscuits & Cookies,Coconut Cookies,143g,25
Nivea Aloe Protection 400Ml,Nivea Aloe Protection Body Lotion,Nivea,Personal Care,Body Care,Body Lotion,400ml,425
Nivea Bw Fresh Aloe 250Ml,Nivea Fresh Aloe Body Wash,Nivea,Personal Care,Bathing & Shower,Body Wash,250ml,199
Nivea Bw Frangipani & Oil 250Ml,Nivea Frangipani Oil,Nivea,Personal Care,Bath & Body,Bathing Soap,125ml,199
Nivea Bw Fresh Fruitpower 250Ml,Nivea Fresh Fruitpower Body Wash,Nivea,Personal Care,Bathing & Shower,Body Wash,250ml,199
Nescafe Classic 90G,Nescafe Classic,Nescafe,"Tea, Coffee & Health Drinks",Coffee,Instant Coffee,1.1g,455
Natural Gud 1Kg,Natural Gud,Unknown,"Atta, Rice & Dal","Salt, Sugar & Jaggery",Jaggery,1kg,80
Nescafe Classic 5.5G,Nescafe Classic,Nescafe,"Tea, Coffee & Health Drinks",Coffee,Instant Coffee,1.1g,10
National A Smily Bite Golden Chana 180G,National Smily Bite Golden Chana,National,Snacks & Munchies,Namkeen & Bhel,Roasted Chana,180g,60
Nivea Cocoa Nourish 200Ml,Nivea Cocoa Nourish Body Lotion,Nivea,Personal Care,Body Care,Body Lotion,200ml,275
Nivea Cocoa Nourish 400Ml,Nivea Cocoa Nourish Body Lotion,Nivea,Personal Care,Body Care,Body Lotion,200ml,425
Nivea Shea Smooth 400Ml,Nivea Shea Smooth,Nivea,Personal Care,Skin Care,Body Cream,200ml,425
Vanila Essence,Vanilla Essence,Unknown,Masala & Dry Fruits,Baking Ingredients,Vanilla Essence,pc,50
